图片名称,食物名称,置信度,识别耗时(秒),热量(kcal),蛋白质(g),脂肪(g),碳水化合物(g)
img-0-13113t1.jpg,苦瓜炒豆腐,100.0%,0.05,180,12,8,10
img-0-13113t2.jpg,苦瓜炒豆腐,100.0%,0.06,180,12,8,10
img-0-13115t1.jpg,苦瓜炒豆腐,100.0%,0.06,180,12,8,10
img-0-13115t2.jpg,苦瓜炒豆腐,99.7%,0.06,180,12,8,10
img-0-13123t1.jpg,苦瓜炒豆腐,100.0%,0.02,180,12,8,10
img-0-13123t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13126t1.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13126t2.jpg,苦瓜炒豆腐,99.7%,0.01,180,12,8,10
img-0-13139t1.jpg,苦瓜炒豆腐,71.1%,0.01,180,12,8,10
img-0-13139t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13151t1.jpg,苦瓜炒豆腐,60.8%,0.01,180,12,8,10
img-0-13151t2.jpg,麻婆豆腐,61.4%,0.01,200,12,12,10
img-0-13159t1.jpg,苦瓜炒豆腐,98.6%,0.01,180,12,8,10
img-0-13159t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13163t1.jpg,苦瓜炒豆腐,84.8%,0.01,180,12,8,10
img-0-13163t2.jpg,地三鲜,71.4%,0.01,180,4,10,20
img-0-13170t1.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13170t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13175t1.jpg,苦瓜炒豆腐,99.0%,0.01,180,12,8,10
img-0-13175t2.jpg,苦瓜炒豆腐,99.0%,0.01,180,12,8,10
img-0-13194t1.jpg,苦瓜炒豆腐,99.9%,0.01,180,12,8,10
img-0-13194t2.jpg,苦瓜炒豆腐,99.0%,0.01,180,12,8,10
img-1-2282t1.jpg,泰式绿咖喱,99.9%,0.01,450,18,32,20
img-1-2282t2.jpg,芝士蛋糕,94.1%,0.01,320,6,22,25
img-1-2553t1.jpg,泰式绿咖喱,34.9%,0.01,450,18,32,20
img-1-2553t2.jpg,泰式绿咖喱,99.6%,0.01,450,18,32,20
img-1-3563t1.jpg,泰式绿咖喱,99.9%,0.01,450,18,32,20
img-1-3563t2.jpg,泰式绿咖喱,100.0%,0.01,450,18,32,20
img-1-4934t1.jpg,泰式绿咖喱,87.7%,0.01,450,18,32,20
img-1-4934t2.jpg,泰式绿咖喱,99.9%,0.01,450,18,32,20
img-1-5107t1.jpg,泰式绿咖喱,97.8%,0.01,450,18,32,20
img-1-5107t2.jpg,泰式绿咖喱,90.6%,0.01,450,18,32,20
img-1-5261t1.jpg,泰式绿咖喱,99.9%,0.01,450,18,32,20
img-1-5261t2.jpg,泰式绿咖喱,98.6%,0.01,450,18,32,20
img-1-67002t1.jpg,泰式绿咖喱,78.4%,0.01,450,18,32,20
img-1-67002t2.jpg,炖豆腐,52.8%,0.01,150,12,8,10
img-1-67282t1.jpg,中式点心,87.7%,0.01,250,4,10,35
img-1-67282t2.jpg,中式点心,48.8%,0.01,250,4,10,35
img-1-68332t1.jpg,泰式绿咖喱,99.7%,0.01,450,18,32,20
img-1-68332t2.jpg,泰式绿咖喱,97.0%,0.01,450,18,32,20
img-1-68696t1.jpg,泰式绿咖喱,94.7%,0.01,450,18,32,20
img-1-68696t2.jpg,泰式绿咖喱,51.8%,0.01,450,18,32,20
img-1-69506t1.jpg,中式点心,66.4%,0.01,250,4,10,35
img-1-69506t2.jpg,泰式绿咖喱,44.6%,0.01,450,18,32,20
img-1-72138t1.jpg,泰式绿咖喱,98.3%,0.01,450,18,32,20
img-1-72138t2.jpg,泰式绿咖喱,99.8%,0.01,450,18,32,20
img-1-72798t1.jpg,泰式绿咖喱,99.6%,0.01,450,18,32,20
img-1-72798t2.jpg,泰式绿咖喱,99.9%,0.01,450,18,32,20
img-1-835t1.jpg,鸡蛋羹,96.9%,0.01,80,8,5,2
img-1-835t2.jpg,泰式绿咖喱,75.6%,0.01,450,18,32,20
img-1-903t1.jpg,泰式绿咖喱,96.1%,0.01,450,18,32,20
img-1-903t2.jpg,泰式绿咖喱,96.1%,0.01,450,18,32,20
img-10-2224t1.jpg,海鲜饭,98.5%,0.01,550,30,18,65
img-10-2224t2.jpg,海鲜饭,99.7%,0.01,550,30,18,65
img-10-2403t1.jpg,白菜炖锅,64.1%,0.01,150,8,5,18
img-10-2403t2.jpg,海鲜饭,99.7%,0.01,550,30,18,65
img-10-3077t1.jpg,海鲜饭,80.2%,0.01,550,30,18,65
img-10-3077t2.jpg,海鲜饭,98.1%,0.01,550,30,18,65
img-10-3718t1.jpg,海鲜饭,84.6%,0.01,550,30,18,65
img-10-3718t2.jpg,海鲜饭,96.2%,0.01,550,30,18,65
img-10-3993t1.jpg,海鲜饭,94.8%,0.01,550,30,18,65
img-10-3993t2.jpg,海鲜饭,99.9%,0.01,550,30,18,65
img-10-5325t1.jpg,亲子丼,48.2%,0.01,500,30,20,45
img-10-5325t2.jpg,海鲜饭,28.5%,0.01,550,30,18,65
img-10-5540t1.jpg,青木瓜沙拉,41.2%,0.01,80,2,4,10
img-10-5540t2.jpg,墨西哥玉米片,60.1%,0.01,150,3,8,18
img-10-70186t1.jpg,海鲜饭,77.8%,0.01,550,30,18,65
img-10-70186t2.jpg,海鲜饭,39.7%,0.01,550,30,18,65
img-10-70390t1.jpg,风味凉拌菜,76.5%,0.01,90,3,5,8
img-10-70390t2.jpg,海鲜饭,92.2%,0.01,550,30,18,65
img-10-72092t1.jpg,海鲜饭,99.9%,0.01,550,30,18,65
img-10-72092t2.jpg,海鲜饭,99.8%,0.01,550,30,18,65
img-10-73350t1.jpg,海鲜饭,88.1%,0.01,550,30,18,65
img-10-73350t2.jpg,海鲜饭,99.3%,0.01,550,30,18,65
img-10-73955t1.jpg,海鲜饭,94.0%,0.01,550,30,18,65
img-10-73955t2.jpg,海鲜饭,85.4%,0.01,550,30,18,65
img-10-94013t1.jpg,海鲜饭,63.8%,0.01,550,30,18,65
img-10-94013t2.jpg,海鲜饭,88.9%,0.01,550,30,18,65
img-10-94240t1.jpg,海鲜饭,99.6%,0.01,550,30,18,65
img-10-94240t2.jpg,海鲜饭,99.6%,0.01,550,30,18,65
img-100-139070t1.jpg,三鲜盖浇饭,95.8%,0.01,500,20,18,60
img-100-139070t2.jpg,三鲜盖浇饭,67.8%,0.01,500,20,18,60
img-100-201185t1.jpg,三鲜盖浇饭,97.8%,0.01,500,20,18,60
img-100-201185t2.jpg,三鲜盖浇饭,37.2%,0.01,500,20,18,60
img-100-201246t1.jpg,三鲜盖浇饭,87.8%,0.01,500,20,18,60
img-100-201246t2.jpg,三鲜盖浇饭,51.0%,0.01,500,20,18,60
img-100-201264t1.jpg,三鲜盖浇饭,40.3%,0.01,500,20,18,60
img-100-201264t2.jpg,三鲜盖浇饭,99.5%,0.01,500,20,18,60
img-100-201406t1.jpg,炖豆腐,92.2%,0.01,150,12,8,10
img-100-201406t2.jpg,三鲜盖浇饭,98.5%,0.01,500,20,18,60
img-100-201505t1.jpg,三鲜盖浇饭,55.5%,0.01,500,20,18,60
img-100-201505t2.jpg,三鲜盖浇饭,46.9%,0.01,500,20,18,60
img-100-201584t1.jpg,三鲜盖浇饭,65.2%,0.01,500,20,18,60
img-100-201584t2.jpg,三鲜盖浇饭,76.4%,0.01,500,20,18,60
img-100-201596t1.jpg,三鲜盖浇饭,88.0%,0.01,500,20,18,60
img-100-201596t2.jpg,三鲜盖浇饭,82.1%,0.01,500,20,18,60
img-100-222754t1.jpg,番茄汤饭,45.6%,0.01,300,8,10,45
img-100-222754t2.jpg,凉拌面,34.1%,0.01,300,10,12,40
img-100-313027t1.jpg,炖豆腐,85.4%,0.01,150,12,8,10
img-100-313027t2.jpg,炖豆腐,77.5%,0.01,150,12,8,10
img-100-313645t1.jpg,三鲜盖浇饭,99.7%,0.01,500,20,18,60
img-100-313645t2.jpg,三鲜盖浇饭,100.0%,0.01,500,20,18,60
img-100-313751t1.jpg,三鲜盖浇饭,99.8%,0.01,500,20,18,60
img-100-313751t2.jpg,三鲜盖浇饭,99.6%,0.01,500,20,18,60
img-100-315834t1.jpg,三鲜盖浇饭,100.0%,0.01,500,20,18,60
img-100-315834t2.jpg,三鲜盖浇饭,100.0%,0.01,500,20,18,60
img-100-316423t1.jpg,三鲜盖浇饭,99.1%,0.01,500,20,18,60
img-100-316423t2.jpg,三鲜盖浇饭,97.0%,0.01,500,20,18,60
img-101-131575t1.jpg,待定,99.8%,0.01,250,10,8,35
img-101-131575t2.jpg,待定,100.0%,0.01,250,10,8,35
img-101-137750t1.jpg,待定,60.7%,0.01,250,10,8,35
img-101-137750t2.jpg,待定,87.8%,0.01,250,10,8,35
img-101-225112t1.jpg,待定,87.8%,0.01,250,10,8,35
img-101-225112t2.jpg,待定,98.7%,0.01,250,10,8,35
img-101-265714t1.jpg,待定,100.0%,0.01,250,10,8,35
img-101-265714t2.jpg,待定,100.0%,0.01,250,10,8,35
img-101-306717t1.jpg,待定,100.0%,0.01,250,10,8,35
img-101-306717t2.jpg,待定,100.0%,0.01,250,10,8,35
img-101-63639t1.jpg,待定,99.9%,0.01,250,10,8,35
img-101-63639t2.jpg,待定,99.8%,0.01,250,10,8,35
img-101-63641t1.jpg,待定,99.9%,0.01,250,10,8,35
img-101-63641t2.jpg,待定,99.9%,0.01,250,10,8,35
img-102-132442t1.jpg,叉烧盖饭,93.2%,0.01,600,30,25,60
img-102-132442t2.jpg,叉烧盖饭,27.9%,0.01,600,30,25,60
img-102-132737t1.jpg,叉烧盖饭,95.9%,0.01,600,30,25,60
img-102-132737t2.jpg,叉烧盖饭,96.8%,0.01,600,30,25,60
img-102-182041t1.jpg,叉烧盖饭,100.0%,0.01,600,30,25,60
img-102-182041t2.jpg,叉烧盖饭,94.5%,0.01,600,30,25,60
img-102-266081t1.jpg,叉烧盖饭,97.8%,0.01,600,30,25,60
img-102-266081t2.jpg,叉烧盖饭,99.7%,0.01,600,30,25,60
img-102-312519t1.jpg,叉烧盖饭,99.4%,0.01,600,30,25,60
img-102-312519t2.jpg,叉烧盖饭,92.6%,0.01,600,30,25,60
img-102-313058t1.jpg,叉烧盖饭,89.2%,0.01,600,30,25,60
img-102-313058t2.jpg,叉烧盖饭,94.7%,0.01,600,30,25,60
img-102-313324t1.jpg,酱汁鸡肉盖饭,85.6%,0.01,580,28,22,65
img-102-313324t2.jpg,酱汁鸡肉盖饭,85.6%,0.01,580,28,22,65
img-103-131742t1.jpg,烤肉拌饭,98.9%,0.01,550,25,20,55
img-103-131742t2.jpg,烤肉拌饭,79.6%,0.01,550,25,20,55
img-103-131833t1.jpg,烤肉拌饭,56.4%,0.01,550,25,20,55
img-103-131833t2.jpg,烤肉拌饭,91.3%,0.01,550,25,20,55
img-103-131939t1.jpg,烤肉拌饭,99.4%,0.01,550,25,20,55
img-103-131939t2.jpg,烤肉拌饭,99.9%,0.01,550,25,20,55
img-103-139855t1.jpg,冰淇淋杯,67.5%,0.01,200,4,10,25
img-103-139855t2.jpg,烤肉拌饭,93.1%,0.01,550,25,20,55
img-103-139872t1.jpg,海苔,55.1%,0.01,35,6,1,5
img-103-139872t2.jpg,印尼什锦饭,37.6%,0.01,350,15,12,45
img-103-139891t1.jpg,烤肉拌饭,97.2%,0.01,550,25,20,55
img-103-139891t2.jpg,烤肉拌饭,89.2%,0.01,550,25,20,55
img-103-179956t1.jpg,什锦炒饭,67.2%,0.01,420,15,12,60
img-103-179956t2.jpg,什锦炒饭,94.3%,0.01,420,15,12,60
img-103-180198t1.jpg,烤肉拌饭,74.1%,0.01,550,25,20,55
img-103-180198t2.jpg,烤肉拌饭,27.4%,0.01,550,25,20,55
img-103-180482t1.jpg,烤肉拌饭,99.3%,0.01,550,25,20,55
img-103-180482t2.jpg,烤肉拌饭,75.8%,0.01,550,25,20,55
img-103-310674t1.jpg,烤肉拌饭,99.7%,0.01,550,25,20,55
img-103-310674t2.jpg,烤肉拌饭,99.5%,0.01,550,25,20,55
img-103-310770t1.jpg,烤肉拌饭,99.8%,0.01,550,25,20,55
img-103-310770t2.jpg,酱汁鸡肉盖饭,62.5%,0.01,580,28,22,65
img-103-310820t1.jpg,烤肉拌饭,97.8%,0.01,550,25,20,55
img-103-310820t2.jpg,烤肉拌饭,99.1%,0.01,550,25,20,55
img-103-311046t1.jpg,烤肉拌饭,82.6%,0.01,550,25,20,55
img-103-311046t2.jpg,烤肉拌饭,100.0%,0.01,550,25,20,55
img-104-132975t1.jpg,中式煎蛋,43.8%,0.01,150,12,11,2
img-104-132975t2.jpg,中式煎蛋,91.3%,0.01,150,12,11,2
img-104-133077t1.jpg,中式煎蛋,100.0%,0.01,150,12,11,2
img-104-133077t2.jpg,中式煎蛋,100.0%,0.01,150,12,11,2
img-104-133262t1.jpg,中式煎蛋,93.9%,0.01,150,12,11,2
img-104-133262t2.jpg,中式煎蛋,99.9%,0.01,150,12,11,2
